reason,cancelled_orders,cancelled_before_active_orders
refresh_reprice,38271,0
pressure_stop_ask,26180,0
pressure_stop_bid,22681,0
expected_edge_bid,9559,0
quote_age_expired,7050,0
expected_edge_ask,5673,0
stale_book,477,0
expected_edge_jump_cooldown,64,0
quote_crossed_after_book_update,47,0
refresh_no_desired_quote,7,0
eod_reduce_only,2,0
