dataset_scope,variant,total_pnl,realized_trading_pnl,unrealized_trading_pnl,realized_roundtrip_pnl,inventory_mtm_pnl,funding_pnl,fees,liquidation_adjusted_pnl,forced_flat_pnl,liquidation_cost,final_liquidation_cost,forced_flat_cost,total_fills,fill_volume_eth,turnover_usd,max_inventory,min_inventory,mean_abs_inventory,max_drawdown,sampled_1m_max_drawdown,sharpe_like_1m,pnl_per_turnover,pnl_per_eth,avg_realized_spread_1s,avg_realized_spread_5s,avg_realized_spread_30s,pct_long,pct_short,inventory_pnl_share_abs,sparse_fill_warning,inventory_directional_warning,negative_realized_spread_warning,comparison_warnings,placed_orders,placed_orders_per_hour,top_roundtrip_pnl_share_pct,top_abs_roundtrip_pnl_share_pct,max_holding_seconds,fill_model,maker_fee_bps,cancel_latency_ms,queue_depletion_fraction,pressure_stop,min_half_spread_ticks,funding_target_frac,output_dir
smoke_1000_rows,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,False,False,sparse_fills,39,2457.450960682167,0.0,0.0,0.0,conservative_queue,0.5,250,0.0,0.5,2,0.25,reports/sample/smoke/baseline
smoke_1000_rows,simple_fill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,False,False,sparse_fills,39,2457.450960682167,0.0,0.0,0.0,simple,0.5,250,0.0,0.5,2,0.25,reports/sample/smoke/simple_fill
smoke_1000_rows,funding_disabled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,False,False,sparse_fills,31,1955.0618179685387,0.0,0.0,0.0,conservative_queue,0.5,250,0.0,0.5,2,0.0,reports/sample/smoke/funding_disabled
