variant,total_pnl,realized_trading_pnl,unrealized_trading_pnl,realized_roundtrip_pnl,inventory_mtm_pnl,funding_pnl,fees,liquidation_adjusted_pnl,forced_flat_pnl,liquidation_cost,final_liquidation_cost,forced_flat_cost,total_fills,fill_volume_eth,turnover_usd,max_inventory,min_inventory,mean_abs_inventory,max_drawdown,sampled_1m_max_drawdown,sharpe_like_1m,pnl_per_turnover,pnl_per_eth,fill_model,maker_fee_bps,cancel_latency_ms,queue_depletion_fraction,pressure_stop,min_half_spread_ticks,funding_target_frac,output_dir
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,conservative_queue,0.5,250,0.0,0.5,2,0.25,reports/reproduce/baseline
simple_fill,-1.8579935053883425,0.0,-1.839337818685721,0.0,-1.839337818685721,-0.0016232375120536348,0.017032449190596592,-1.8657251784673783,-1.8826652741833734,0.007731673079035772,0.007731673079035772,0.024671768795030857,2.0,0.1546334615792639,340.6489838119319,0.1546334615792639,0.0,0.13080159546461423,2.1191292590680404,1.9335576438538549,-5.382646864500572,-0.005454275790278353,-12.01546862116871,simple,0.5,250,0.0,0.5,2,0.25,reports/reproduce/simple_fill
funding_disabled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,conservative_queue,0.5,250,0.0,0.5,2,0.0,reports/reproduce/funding_disabled
