reason,cancelled_orders,cancelled_before_active_orders
refresh_reprice,60,0
pressure_stop_bid,21,0
pressure_stop_ask,20,0
expected_edge_bid,12,0
expected_edge_ask,11,0
quote_age_expired,9,0
expected_edge_bid_price_stale,4,0
expected_edge_ask_price_stale,2,0
