breakdown,bucket,fills,avg_realized_spread_5s,avg_markout_1s,avg_quote_age_ms
side,bid,2,-1.400000000000091,-0.7000000000002728,1755.8245
pressure_bucket,"(-1.011, -0.75]",1,-0.8500000000003638,-1.4000000000005457,1167.9850000000001
pressure_bucket,"(0.25, 0.5]",1,-1.949999999999818,0.0,2343.6639999999998
quote_age_bucket_ms,1000-5000,2,-1.400000000000091,-0.7000000000002728,1755.8245
queue_ahead_bucket,20+,2,-1.400000000000091,-0.7000000000002728,1755.8245
inventory_bucket,flat,1,-1.949999999999818,0.0,2343.6639999999998
inventory_bucket,long_small,1,-0.8500000000003638,-1.4000000000005457,1167.9850000000001
spread_bucket,<=0.1,2,-1.400000000000091,-0.7000000000002728,1755.8245
