variant,dataset_scope,aggregation,days,total_pnl,realized_trading_pnl,unrealized_trading_pnl,realized_roundtrip_pnl,inventory_mtm_pnl,funding_pnl,fees,liquidation_adjusted_pnl,forced_flat_pnl,liquidation_cost,final_liquidation_cost,forced_flat_cost,total_fills,fill_volume_eth,turnover_usd,max_inventory,max_drawdown,sampled_1m_max_drawdown,min_inventory,pnl_per_turnover,pnl_per_eth
full,full_dataset_by_day,sum_of_independent_daily_runs,"2026-03-19,2026-03-20,2026-03-21",10.341019287229088,9.427463006938051,0.9819880061221532,9.427463006938051,0.9819880061221532,-0.025915086770091602,0.0425166390609832,10.338728587437961,10.32893375240359,0.0022906997911273435,0.0022906997911273435,0.0120855348254989,4.0,0.3952084909249237,850.3327812196658,0.087317909911194,4.328587924394561,4.1524990905008625,-0.0879540471424632,0.012161143866988824,26.165984599742654
no_pressure_filter,full_dataset_by_day,sum_of_independent_daily_runs,"2026-03-19,2026-03-20,2026-03-21",1.0718708105737091,2.006036980706156,-0.8493816775046099,2.006036980706156,-0.8493816775046099,0.0915252472055619,0.1763097398333975,1.0533517681126723,0.9743972613667857,0.018519042461036802,0.018519042461036802,0.0974735492069238,17.0,1.6336795949158036,3526.1947966679536,0.3038038225309779,21.32642446949053,19.823445736894385,-0.120459525046097,0.0003039737939567502,0.6561083421189153
no_microprice_alpha,full_dataset_by_day,sum_of_independent_daily_runs,"2026-03-19,2026-03-20,2026-03-21",11.166348002705849,9.340719806529576,1.82220946495136,9.340719806529576,1.82220946495136,0.048654903149851006,0.045236171924894,11.154112559968187,11.101622032986327,0.012235442737662,0.012235442737662,0.0647259697195227,4.0,0.4206169490378004,904.7234384978814,0.1994695684325471,8.335012186784539,8.008071474647622,-0.0879540471424632,0.012342277791813832,26.547546474886207
no_inventory_skew,full_dataset_by_day,sum_of_independent_daily_runs,"2026-03-19,2026-03-20,2026-03-21",0.5815005013939835,0.0780688803676366,0.4918451995137806,0.0780688803676366,0.4918451995137806,0.0431804423073489,0.0315940207947228,0.5754304669907323,0.5493700328109558,0.0060700344032511,0.0060700344032511,0.0321304685830277,3.0,0.2948870888818712,631.8804158944572,0.1214006880649183,5.072835031712138,4.873853163341141,0.0,0.0009202698592436062,1.971942900582286
no_funding_target,full_dataset_by_day,sum_of_independent_daily_runs,"2026-03-19,2026-03-20,2026-03-21",0.4635441895257732,0.0960000000000127,0.3685500000000165,0.0960000000000127,0.3685500000000165,0.0323149745257137,0.033320785,0.4589941895257501,0.4394597078999741,0.0045500000000231,0.0045500000000231,0.0240844816257991,3.0,0.311,666.4157,0.1,3.80251541604899,3.653361813129739,-0.01,0.0006955781346774592,1.4904957862565054
