total_pnl,realized_trading_pnl,unrealized_trading_pnl,realized_roundtrip_pnl,inventory_mtm_pnl,funding_pnl,fees,liquidation_adjusted_pnl,forced_flat_pnl,liquidation_cost,final_liquidation_cost,forced_flat_cost,total_fills,fill_volume_eth,turnover_usd,max_inventory,min_inventory,mean_abs_inventory,max_drawdown,sampled_1m_max_drawdown,sharpe_like_1m,pnl_per_turnover,pnl_per_eth,variant,day,dataset_scope
10.268024026766044,9.340719806529576,0.9794305488350602,9.340719806529576,0.9794305488350602,-0.0282585825294895,0.0238677460690713,10.265762062450053,10.256090597220307,0.0022619643159913,0.0022619643159913,0.0119334295457367,2.0,0.2211473806052533,477.3549213814272,0.0452392863203268,-0.0879540471424632,0.0563935326615482,4.328587924394561,4.1524990905008625,2.0663726586710984,0.0215102506894685,46.43068345943651,full,2026-03-19,full_dataset_by_day
0.0729952604630446,0.0867432004084764,0.002557457287093,0.0867432004084764,0.002557457287093,0.0023434957593979,0.0186488929919119,0.0729665249879085,0.0728431551832823,2.8735475136043576e-05,2.8735475136043576e-05,0.0001521052797622,2.0,0.1740611103196704,372.97785983823854,0.087317909911194,0.0,0.0043160147594033,1.194525806929908,1.0467927055773074,0.0739235894210552,0.0001957093659519,0.4193657062682512,full,2026-03-20,full_dataset_by_day
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,full,2026-03-21,full_dataset_by_day
0.047473578103679,-0.103278569096019,0.2010036398462128,-0.103278569096019,0.2010036398462128,0.072161752381454,0.12241324502799,0.0439471984572626,0.0288694813174286,0.0035263796464164,0.0035263796464164,0.0186040967862504,11.0,1.1301384167225814,2448.264900559801,0.3038038225309779,-0.120459525046097,0.1227784175836215,21.32642446949053,19.823445736894385,0.0032162743721749,1.9390703225302197e-05,0.0420068704870268,no_pressure_filter,2026-03-19,full_dataset_by_day
6.412215787418872,2.1093155498021754,4.323376011432089,2.1093155498021754,4.323376011432089,0.0249089044805689,0.0453846782959609,6.401177327200812,6.353785986913977,0.0110384602180602,0.0110384602180602,0.0584298005048955,5.0,0.4244571262611709,907.6935659192192,0.220769204359792,-0.0145260510394954,0.0930812204638666,5.50494059208188,4.599821487303888,0.7818175426556007,0.0070642957361113,15.1068633100847,no_pressure_filter,2026-03-20,full_dataset_by_day
-5.387818554948842,0.0,-5.373761328782911,0.0,-5.373761328782911,-0.005545409656461,0.0085118165094466,-5.391772757545402,-5.40825820686462,0.0039542025965602,0.0039542025965602,0.0204396519157779,1.0,0.0790840519320513,170.23633018893375,0.0790840519320513,0.0,0.0587779456066807,7.769430739877286,7.532180421981747,-1.889624163172758,-0.0316490525199249,-68.12775045439035,no_pressure_filter,2026-03-21,full_dataset_by_day
10.268024026766044,9.340719806529576,0.9794305488350602,9.340719806529576,0.9794305488350602,-0.0282585825294895,0.0238677460690713,10.265762062450053,10.256090597220307,0.0022619643159913,0.0022619643159913,0.0119334295457367,2.0,0.2211473806052533,477.3549213814272,0.0452392863203268,-0.0879540471424632,0.0563935326615482,4.328587924394561,4.1524990905008625,2.0663726586710984,0.0215102506894685,46.43068345943651,no_microprice_alpha,2026-03-19,full_dataset_by_day
0.8983239759398056,0.0,0.8427789161162998,0.0,0.8427789161162998,0.0769134856793405,0.0213684258558227,0.8883504975181349,0.8455314357660195,0.0099734784216707,0.0099734784216707,0.052792540173786,2.0,0.1994695684325471,427.3685171164542,0.1994695684325471,0.0,0.1367221543213048,8.335012186784539,8.008071474647622,0.0781519902375855,0.002101989126389,4.5035640423696215,no_microprice_alpha,2026-03-20,full_dataset_by_day
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,no_microprice_alpha,2026-03-21,full_dataset_by_day
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,no_inventory_skew,2026-03-19,full_dataset_by_day
