date,starting_equity,ending_equity,daily_pnl,daily_realized_trading_pnl,daily_unrealized_trading_pnl_change,daily_funding_pnl,daily_fees,ending_realized_trading_pnl,ending_unrealized_trading_pnl,ending_funding_pnl,ending_fees,bid_fills,ask_fills,bid_volume_eth,ask_volume_eth,average_inventory,max_abs_inventory,max_drawdown,sampled_1m_max_drawdown
2026-03-19,0.0,12.129359715770132,12.129359715770132,8.205786647085114,4.015163011895878,-0.054450403794967975,0.03713953941589792,8.205786647085114,4.015163011895878,-0.054450403794967975,0.03713953941589792,1,2,0.14296592491456303,0.19646804617692137,-0.10057111022322016,0.19646804617692137,9.66901739988533,9.275677579005606
2026-03-20,12.129359715770132,17.119395157270038,4.990035441499906,9.064885990789028,-4.000790107630589,-0.0030306409038410864,0.07102980075460569,17.270672637874142,0.014372904265288979,-0.05748104469880906,0.10816934017050361,3,3,0.35746410458331895,0.30570415353493496,-0.012167040105124914,0.15555313774761112,6.912410236516994,6.423283374847035
2026-03-21,17.119395157270038,16.433068787612825,-0.6863263696572126,-0.8912661198930145,0.2113025889485258,0.02007324714549645,0.026436085858196345,16.379406517981128,0.22567549321381478,-0.03740779755331261,0.13460542602869996,1,1,0.12192886142703685,0.12369422181991144,-0.04084944858506117,0.12543639203388576,1.7567789940597471,1.744241556908344
