horizon_seconds,mark_source,marks_available,average_realized_spread,average_toxicity,median_mark_lookup_lag_ms,max_mark_lookup_lag_ms
1,event_level_book,3581577,-0.08043478260867193,0.3086956521739684,25.59932,89.39588800000001
5,event_level_book,3581577,-0.23695652173912252,0.465217391304419,38.104997000000004,226.980345
30,event_level_book,3581577,-0.5152173913042846,0.743478260869581,36.911668,290.06754
