breakdown,bucket,fills,avg_realized_spread_5s,avg_markout_1s,avg_quote_age_ms
side,ask,35,-0.5014285714286156,0.6857142857143507,2546.023485714286
side,bid,7,-0.8214285714285714,-0.5714285714286363,1534.1692857142857
pressure_bucket,"(-0.25, 0.25]",5,-0.8500000000001819,0.9399999999999636,1820.4614000000001
pressure_bucket,"(-0.5, -0.25]",2,-0.1999999999998181,0.3500000000003638,3333.433
pressure_bucket,"(-0.75, -0.5]",2,-0.14999999999986358,-0.5250000000003183,1042.8965
pressure_bucket,"(-1.011, -0.75]",4,-0.5500000000000682,-0.7875000000001364,1122.4160000000002
pressure_bucket,"(0.25, 0.5]",4,-0.4999999999998863,0.27500000000020464,1313.58825
pressure_bucket,"(0.5, 0.75]",5,0.010000000000036379,0.019999999999890862,1361.8916
pressure_bucket,"(0.75, 1.01]",20,-0.7100000000000819,0.8800000000001091,3272.0783
quote_age_bucket_ms,1000-5000,23,-0.27608695652181425,0.34130434782618185,2004.0216956521738
quote_age_bucket_ms,250-1000,13,-1.2192307692306923,0.45769230769222374,516.1938461538462
quote_age_bucket_ms,5000-30000,6,-0.18333333333346977,1.0333333333334547,7841.164666666665
queue_ahead_bucket,20+,42,-0.5547619047619415,0.4761904761905195,2377.381119047619
inventory_bucket,flat,3,-1.4833333333331211,0.06666666666675762,1018.4639999999999
inventory_bucket,long_small,6,-0.48333333333342426,-0.0500000000001819,1408.9953333333333
inventory_bucket,short_large,23,-0.48913043478272733,0.895652173913178,3306.948608695652
inventory_bucket,short_small,10,-0.46999999999989084,-0.05000000000004547,1228.0825
spread_bucket,0.1-0.5,8,-0.24999999999994316,0.23125000000010232,1399.665
spread_bucket,0.5-1,4,-1.150000000000091,1.0124999999999318,2699.1719999999996
spread_bucket,2+,1,-1.3500000000003638,0.6999999999998181,1122.9
spread_bucket,<=0.1,29,-0.5293103448276301,0.46206896551729154,2645.9689310344825
