timestamp,order_id,side,price,quantity,signed_quantity,trade_price,trade_size,best_bid,best_ask,spread_at_fill,queue_ahead_before,queue_ahead_before_fill,queue_ahead_after,queue_ahead_initial,mid_at_fill,pressure_at_placement,pressure_at_fill,trade_imbalance_at_fill,microprice_at_fill,inventory_before,cash_after,inventory_after,realized_trading_pnl_after,quote_age_ms,book_age_ms,order_age_ms,fill_model,queue_depletion_fraction,order_status_at_fill,cancel_requested_time,cancel_effective_time,cancel_reason,is_pending_cancel_fill,is_pressure_stop_violation,is_pending_cancel_pressure_fill,stale_book_at_fill,markout_250ms,markout_1s,markout_5s,markout_30s,realized_spread_1s,realized_spread_5s,realized_spread_30s
2026-03-19 00:05:21.606686143+00:00,149,bid,2206.8,0.08280946143616393,0.08280946143616393,2206.6,0.498,2206.6,2206.7,0.09999999999990905,151.577,151.577,151.577,151.577,2206.6499999999996,-0.2909155616073777,0.2595352485537798,0.37401838954460825,2206.6629767624277,0.0,-182.74391949732657,0.08280946143616393,0.0,2343.6639999999998,44.619,2343.6639999999998,simple,0.0,pending_cancel,2026-03-19 00:05:21.358616151+00:00,2026-03-19 00:05:21.608616151+00:00,pressure_stop_bid,True,False,False,False,0.0,0.0,-1.7999999999992724,-1.199999999999818,-0.1500000000005457,-1.949999999999818,-1.3500000000003638
2026-03-19 00:11:36.579515163+00:00,336,ask,2196.5,0.12770035276902253,-0.12770035276902253,2196.5,10.2,2196.4,2196.5,0.09999999999990905,131.976,131.976,131.976,131.976,2196.45,0.2379087626506637,0.3025662329814756,0.11294100244076828,2196.465128311649,0.08280946143616393,97.74990535983139,-0.044890891332858604,-0.8529374527925035,780.461,11.353,780.461,simple,0.0,pending_cancel,2026-03-19 00:11:36.466320327+00:00,2026-03-19 00:11:36.716320327+00:00,pressure_stop_ask,True,False,False,False,0.1000000000003638,0.1000000000003638,0.3000000000001819,2.199999999999818,-0.0500000000001819,-0.25,-2.149999999999636
2026-03-19 00:30:31.323275897+00:00,815,ask,2203.3,0.10543862023655791,-0.10543862023655791,2203.3,3.136,2203.2,2203.3,0.1000000000003638,229.084,229.084,229.084,229.084,2203.25,-0.6958818630436673,-0.06147630373593963,0.9074411010030327,2203.246926184813,-0.044890891332858604,330.06281732703945,-0.1503295115694165,-0.8529374527925035,2559.7400000000002,47.732,2559.7400000000002,simple,0.0,pending_cancel,2026-03-19 00:30:31.121744622+00:00,2026-03-19 00:30:31.371744622+00:00,pressure_stop_ask,True,False,False,False,0.0,0.0,0.0,-0.1000000000003638,0.0500000000001819,0.0500000000001819,0.1500000000005457
2026-03-19 00:34:13.481647777+00:00,925,bid,2194.7,0.10381824265990919,0.10381824265990919,2194.7,1.459,2194.7,2194.8,0.1000000000003638,170.14,170.14,170.14,170.14,2194.75,-0.17589240964526368,-0.9311175109768187,-0.9486754966887418,2194.703444124451,-0.1503295115694165,102.21292016133677,-0.046511268909507325,-0.1709131676913036,446.356,10.712,446.356,simple,0.0,pending_cancel,2026-03-19 00:34:13.317218559+00:00,2026-03-19 00:34:13.567218559+00:00,pressure_stop_bid,True,False,True,False,-0.1000000000003638,0.1999999999998181,0.6999999999998181,1.5,0.25,0.75,1.550000000000182
2026-03-19 00:35:15.317265744+00:00,982,bid,2193.4,0.09354704041788006,0.09354704041788006,2193.4,0.843,2194.1,2194.2,0.09999999999990905,123.451,123.451,123.451,123.451,2194.1499999999996,0.3219964175935959,-0.8154898873682936,-0.6871892104604157,2194.1092255056315,-0.046511268909507325,-102.97315829124136,0.04703577150837274,0.19510293522349503,1678.865,41.355000000000004,1678.865,simple,0.0,pending_cancel,2026-03-19 00:35:15.275909882+00:00,2026-03-19 00:35:15.525909882+00:00,pressure_stop_bid,True,False,True,False,-2.049999999999727,-2.0,-1.2999999999992724,0.0,-1.2500000000004547,-0.5499999999997272,0.7499999999995453
2026-03-19 00:45:45.344951751+00:00,1252,ask,2192.6,0.11384316386347369,-0.11384316386347369,2192.6,0.8,2192.5,2192.6,0.09999999999990905,67.109,67.109,67.109,67.109,2192.55,-0.5005691982436169,0.9885014516917238,0.0,2192.5994250725844,0.04703577150837274,146.63936279581105,-0.06680739235510096,0.1574743180167883,6023.385,53.115,6023.385,simple,0.0,pending_cancel,2026-03-19 00:45:45.291835978+00:00,2026-03-19 00:45:45.541835978+00:00,pressure_stop_ask,True,False,True,False,0.0999999999994543,0.0999999999994543,0.0999999999994543,0.1999999999998181,-0.04999999999972715,-0.04999999999972715,-0.15000000000009095
2026-03-19 00:51:53.544458843+00:00,1391,bid,2192.6,0.09913933488802923,0.09913933488802923,2192.6,0.501,2192.6,2192.7,0.09999999999990905,108.04599999999999,108.04599999999999,108.04599999999999,108.04599999999999,2192.6499999999996,-0.48816658020428977,-0.9776424124774082,-0.7956819378620326,2192.601117879376,-0.06680739235510096,-70.73354287968183,0.03233194253292827,0.1574743180167883,260.464,8.727,260.464,simple,0.0,pending_cancel,2026-03-19 00:51:53.384624893+00:00,2026-03-19 00:51:53.634624893+00:00,pressure_stop_bid,True,False,True,False,-0.0999999999994543,-0.0999999999994543,0.0,-0.8999999999996362,-0.04999999999972715,0.04999999999972715,-0.849999999999909
2026-03-19 00:52:33.327982479+00:00,1416,bid,2191.4,0.08929352890318216,0.08929352890318216,2191.2,1.004,2191.6,2191.8,0.20000000000027285,162.993,162.993,162.993,162.993,2191.7,0.7617480054625171,-0.9811745868359354,-0.6228234663809269,2191.6018825413166,0.03233194253292827,-266.4113821181152,0.12162547143611044,0.1574743180167883,1468.7969999999998,39.745000000000005,1468.7969999999998,simple,0.0,pending_cancel,2026-03-19 00:52:33.288237179+00:00,2026-03-19 00:52:33.538237179+00:00,pressure_stop_bid,True,False,True,False,-1.050000000000182,-0.75,0.3500000000003638,0.6500000000005457,-0.45000000000027285,0.650000000000091,0.9500000000002728
2026-03-19 00:53:14.368505135+00:00,1444,ask,2193.3,0.11952661787057778,-0.11952661787057778,2193.3,0.456,2192.9,2193.0,0.09999999999990905,162.82299999999998,162.82299999999998,162.82299999999998,162.82299999999998,2192.95,-0.9557173033364723,0.7016697330509946,-0.840810419681621,2192.9850834866525,0.12162547143611044,-4.2536511425769845,0.00209885356553266,0.34644609186501724,1266.1229999999998,40.164,1266.1229999999998,simple,0.0,pending_cancel,2026-03-19 00:53:14.328340302+00:00,2026-03-19 00:53:14.578340302+00:00,pressure_stop_ask,True,False,True,False,0.4000000000005457,0.1999999999998181,-0.0999999999994543,0.9000000000005457,0.1500000000005457,0.4499999999998181,-0.5500000000001819
2026-03-19 00:56:19.577877022+00:00,1526,bid,2193.2,0.09345064356600404,0.09345064356600404,2193.2,0.87,2193.4,2193.5,0.09999999999990905,48.537,48.537,48.537,48.537,2193.45,0.2114188626017824,-0.8494121830344246,-0.716500553709856,2193.407529390848,0.00209885356553266,-209.209602611537,0.0955494971315367,0.34644609186501724,457.61600000000004,48.262,457.61600000000004,simple,0.0,pending_cancel,2026-03-19 00:56:19.529614402+00:00,2026-03-19 00:56:19.779614402+00:00,pressure_stop_bid,True,False,True,False,-1.199999999999818,-1.5,-1.5,-1.0,-1.25,-1.25,-0.75
