timestamp,order_id,event,side,price,quantity,active_time,queue_ahead,reason
2026-03-19 00:04:48.473153428+00:00,20,placed,bid,2206.5,0.08118315319800394,2026-03-19 00:04:48.723153428+00:00,153.108,
2026-03-19 00:04:49.873399185+00:00,20,cancelled,bid,2206.5,0.08118315319800394,2026-03-19 00:04:48.723153428+00:00,153.108,refresh
2026-03-19 00:05:04.925205118+00:00,21,placed,bid,2206.5,0.08327120977317518,2026-03-19 00:05:05.175205118+00:00,121.726,
2026-03-19 00:05:04.925205118+00:00,22,placed,ask,2207.0,0.11672879022682484,2026-03-19 00:05:05.175205118+00:00,10.764,
2026-03-19 00:05:08.142059063+00:00,21,cancelled,bid,2206.5,0.08327120977317518,2026-03-19 00:05:05.175205118+00:00,121.726,refresh
2026-03-19 00:05:08.142059063+00:00,22,cancelled,ask,2207.0,0.11672879022682484,2026-03-19 00:05:05.175205118+00:00,10.764,refresh
2026-03-19 00:05:43.355954714+00:00,23,placed,bid,2204.4,0.08105517549889246,2026-03-19 00:05:43.605954714+00:00,34.521,
2026-03-19 00:05:43.355954714+00:00,24,placed,ask,2204.9,0.11894482450110755,2026-03-19 00:05:43.605954714+00:00,67.212,
2026-03-19 00:05:45.602954552+00:00,23,cancelled,bid,2204.4,0.08105517549889246,2026-03-19 00:05:43.605954714+00:00,34.521,refresh
2026-03-19 00:05:45.602954552+00:00,24,cancelled,ask,2204.9,0.11894482450110755,2026-03-19 00:05:43.605954714+00:00,67.212,refresh
2026-03-19 00:06:40.952370815+00:00,25,placed,bid,2202.9,0.0799997931377341,2026-03-19 00:06:41.202370815+00:00,41.232000000000006,
2026-03-19 00:06:40.952370815+00:00,26,placed,ask,2203.4,0.12000020686226592,2026-03-19 00:06:41.202370815+00:00,103.80799999999999,
2026-03-19 00:06:41.652125674+00:00,25,cancelled,bid,2202.9,0.0799997931377341,2026-03-19 00:06:41.202370815+00:00,41.232000000000006,refresh
2026-03-19 00:06:41.652125674+00:00,26,cancelled,ask,2203.4,0.12000020686226592,2026-03-19 00:06:41.202370815+00:00,103.80799999999999,refresh
2026-03-19 00:07:06.846109942+00:00,27,placed,bid,2202.9,0.07988698167631197,2026-03-19 00:07:07.096109942+00:00,109.582,
2026-03-19 00:07:06.846109942+00:00,28,placed,ask,2203.4,0.12011301832368804,2026-03-19 00:07:07.096109942+00:00,106.108,
2026-03-19 00:07:07.585601267+00:00,27,cancelled,bid,2202.9,0.07988698167631197,2026-03-19 00:07:07.096109942+00:00,109.582,refresh
2026-03-19 00:07:07.585601267+00:00,28,cancelled,ask,2203.4,0.12011301832368804,2026-03-19 00:07:07.096109942+00:00,106.108,refresh
2026-03-19 00:07:12.592310557+00:00,29,placed,bid,2202.9,0.0802265186521577,2026-03-19 00:07:12.842310557+00:00,138.928,
2026-03-19 00:07:12.592310557+00:00,30,placed,ask,2203.4,0.11977348134784233,2026-03-19 00:07:12.842310557+00:00,11.003,
2026-03-19 00:07:17.636000500+00:00,29,cancelled,bid,2202.9,0.0802265186521577,2026-03-19 00:07:12.842310557+00:00,138.928,refresh
2026-03-19 00:07:17.636000500+00:00,30,cancelled,ask,2203.4,0.11977348134784233,2026-03-19 00:07:12.842310557+00:00,11.003,refresh
2026-03-19 00:07:17.636000500+00:00,31,placed,bid,2202.9,0.0802265186521577,2026-03-19 00:07:17.886000500+00:00,136.10399999999998,
2026-03-19 00:07:17.636000500+00:00,32,placed,ask,2203.4,0.11977348134784233,2026-03-19 00:07:17.886000500+00:00,34.686,
2026-03-19 00:07:20.298675486+00:00,31,cancelled,bid,2202.9,0.0802265186521577,2026-03-19 00:07:17.886000500+00:00,136.10399999999998,quote_crossed_after_book_update
2026-03-19 00:07:20.298675486+00:00,32,cancelled,ask,2203.4,0.11977348134784233,2026-03-19 00:07:17.886000500+00:00,34.686,quote_crossed_after_book_update
2026-03-19 00:08:33.287570300+00:00,33,placed,bid,2205.0,0.08138916034759813,2026-03-19 00:08:33.537570300+00:00,60.849,
2026-03-19 00:08:33.287570300+00:00,34,placed,ask,2205.5,0.11861083965240188,2026-03-19 00:08:33.537570300+00:00,21.950000000000003,
2026-03-19 00:08:38.337829107+00:00,33,cancelled,bid,2205.0,0.08138916034759813,2026-03-19 00:08:33.537570300+00:00,60.849,refresh
2026-03-19 00:08:38.337829107+00:00,34,cancelled,ask,2205.5,0.11861083965240188,2026-03-19 00:08:33.537570300+00:00,21.950000000000003,refresh
2026-03-19 00:08:38.337829107+00:00,35,placed,bid,2205.0,0.08138916034759813,2026-03-19 00:08:38.587829107+00:00,124.593,
2026-03-19 00:08:38.337829107+00:00,36,placed,ask,2205.6,0.11861083965240188,2026-03-19 00:08:38.587829107+00:00,76.942,
2026-03-19 00:08:43.341685590+00:00,35,cancelled,bid,2205.0,0.08138916034759813,2026-03-19 00:08:38.587829107+00:00,124.593,refresh
2026-03-19 00:08:43.341685590+00:00,36,cancelled,ask,2205.6,0.11861083965240188,2026-03-19 00:08:38.587829107+00:00,76.942,refresh
2026-03-19 00:08:43.341685590+00:00,37,placed,bid,2205.0,0.08138916034759813,2026-03-19 00:08:43.591685590+00:00,111.92099999999999,
2026-03-19 00:08:43.341685590+00:00,38,placed,ask,2205.5,0.11861083965240188,2026-03-19 00:08:43.591685590+00:00,40.071,
2026-03-19 00:08:43.850771509+00:00,37,cancelled,bid,2205.0,0.08138916034759813,2026-03-19 00:08:43.591685590+00:00,111.92099999999999,refresh
2026-03-19 00:08:43.850771509+00:00,38,cancelled,ask,2205.5,0.11861083965240188,2026-03-19 00:08:43.591685590+00:00,40.071,refresh
2026-03-19 00:09:14.073252727+00:00,39,placed,bid,2202.9,0.08132090273836853,2026-03-19 00:09:14.323252727+00:00,50.723,
2026-03-19 00:09:14.073252727+00:00,40,placed,ask,2203.4,0.11867909726163149,2026-03-19 00:09:14.323252727+00:00,86.84100000000001,
2026-03-19 00:09:15.497448409+00:00,39,cancelled,bid,2202.9,0.08132090273836853,2026-03-19 00:09:14.323252727+00:00,50.723,refresh
2026-03-19 00:09:15.497448409+00:00,40,cancelled,ask,2203.4,0.11867909726163149,2026-03-19 00:09:14.323252727+00:00,86.84100000000001,refresh
2026-03-19 00:09:25.557205182+00:00,41,placed,bid,2202.4,0.08132090273836853,2026-03-19 00:09:25.807205182+00:00,85.12899999999999,
2026-03-19 00:09:25.557205182+00:00,42,placed,ask,2202.9,0.11867909726163149,2026-03-19 00:09:25.807205182+00:00,35.871,
2026-03-19 00:09:25.759395964+00:00,41,cancelled,bid,2202.4,0.08132090273836853,2026-03-19 00:09:25.807205182+00:00,85.12899999999999,refresh
2026-03-19 00:09:25.759395964+00:00,42,cancelled,ask,2202.9,0.11867909726163149,2026-03-19 00:09:25.807205182+00:00,35.871,refresh
2026-03-19 00:09:56.042122295+00:00,43,placed,bid,2201.4,0.08058099892562785,2026-03-19 00:09:56.292122295+00:00,27.281,
2026-03-19 00:09:56.042122295+00:00,44,placed,ask,2201.9,0.11941900107437216,2026-03-19 00:09:56.292122295+00:00,120.99700000000001,
2026-03-19 00:09:56.885620904+00:00,43,cancelled,bid,2201.4,0.08058099892562785,2026-03-19 00:09:56.292122295+00:00,27.281,refresh
2026-03-19 00:09:56.885620904+00:00,44,cancelled,ask,2201.9,0.11941900107437216,2026-03-19 00:09:56.292122295+00:00,120.99700000000001,refresh
2026-03-19 00:10:11.992554796+00:00,45,placed,bid,2199.9,0.08046682390916511,2026-03-19 00:10:12.242554796+00:00,120.011,
2026-03-19 00:10:11.992554796+00:00,46,placed,ask,2200.4,0.1195331760908349,2026-03-19 00:10:12.242554796+00:00,38.094,
2026-03-19 00:10:17.044081934+00:00,45,cancelled,bid,2199.9,0.08046682390916511,2026-03-19 00:10:12.242554796+00:00,120.011,refresh
2026-03-19 00:10:17.044081934+00:00,46,cancelled,ask,2200.4,0.1195331760908349,2026-03-19 00:10:12.242554796+00:00,38.094,refresh
2026-03-19 00:10:17.044081934+00:00,47,placed,bid,2199.9,0.08046682390916511,2026-03-19 00:10:17.294081934+00:00,141.792,
2026-03-19 00:10:17.044081934+00:00,48,placed,ask,2200.4,0.1195331760908349,2026-03-19 00:10:17.294081934+00:00,44.482,
2026-03-19 00:10:17.550945589+00:00,47,cancelled,bid,2199.9,0.08046682390916511,2026-03-19 00:10:17.294081934+00:00,141.792,refresh
2026-03-19 00:10:17.550945589+00:00,48,cancelled,ask,2200.4,0.1195331760908349,2026-03-19 00:10:17.294081934+00:00,44.482,refresh
2026-03-19 00:10:52.810994458+00:00,49,placed,bid,2195.3,0.08017264871355143,2026-03-19 00:10:53.060994458+00:00,50.009,
2026-03-19 00:10:52.810994458+00:00,50,placed,ask,2195.9,0.1198273512864486,2026-03-19 00:10:53.060994458+00:00,105.60600000000001,
2026-03-19 00:10:57.865967151+00:00,49,cancelled,bid,2195.3,0.08017264871355143,2026-03-19 00:10:53.060994458+00:00,50.009,refresh
2026-03-19 00:10:57.865967151+00:00,50,cancelled,ask,2195.9,0.1198273512864486,2026-03-19 00:10:53.060994458+00:00,105.60600000000001,refresh
2026-03-19 00:10:57.865967151+00:00,51,placed,bid,2195.4,0.08017264871355143,2026-03-19 00:10:58.115967151+00:00,62.922,
2026-03-19 00:10:57.865967151+00:00,52,placed,ask,2195.9,0.1198273512864486,2026-03-19 00:10:58.115967151+00:00,19.892,
