reason,cancelled_orders,cancelled_before_active_orders
refresh_reprice,94560,18865
quote_age_expired,24167,0
quote_crossed_after_book_update,5321,557
refresh_no_desired_quote,4428,436
jump_cooldown,178,97
eod_reduce_only,3,0
