horizon_seconds,mark_source,marks_available,average_realized_spread,average_toxicity,median_mark_lookup_lag_ms,max_mark_lookup_lag_ms
1,event_level_book,3581577,-0.2786572052401558,0.5112445414847303,27.2327075,20159.178756999998
5,event_level_book,3581577,-0.3180131004366536,0.550600436681228,33.898876,16159.178757
30,event_level_book,3581577,-0.3738537117903571,0.6064410480349315,34.9784055,764.427127
